store_name,store_id,date,total_signals,unique_visits,student,honda,addidas,retired,bmw,employed,h_&_m,mercedes-benz,job_seeking,tommy_helfinger,apple,male,female,low_income,middle_income,high_income
Rewe,place_210,2021-01-02,6,2,0,0,0,0,5,0,0,0,0,0,0,6,0,0,5,1
Kaufland,place_214,2021-01-04,5,4,0,3,0,0,0,0,0,2,0,0,0,5,0,0,5,0
Rewe,place_179,2021-01-04,5,3,0,0,0,0,0,0,0,1,0,3,0,5,0,0,5,0
Rewe,place_193,2021-01-06,5,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Rewe,place_160,2021-01-15,5,5,0,0,0,1,1,0,0,1,1,0,1,5,0,1,3,1
Rewe,place_198,2021-01-02,5,2,0,0,0,0,0,3,0,0,3,0,0,5,0,0,5,0
Rewe,place_193,2021-01-09,5,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Aldi,place_82,2021-01-09,5,2,0,0,0,0,0,0,0,0,0,1,0,5,0,4,1,0
Rewe,place_193,2021-01-12,5,3,1,3,0,0,0,0,0,1,0,0,0,5,0,4,1,0
Rewe,place_141,2021-01-12,5,4,0,0,0,0,0,0,2,2,0,0,0,5,0,1,1,3
Rewe,place_193,2021-01-16,5,4,1,2,0,0,0,0,0,2,0,0,0,5,0,2,3,0
Lexus,place_245,2021-01-12,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Rewe,place_193,2021-01-21,5,2,0,4,1,0,1,0,0,0,0,0,0,5,0,4,1,0
Aldi,place_79,2021-01-10,5,2,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0
Rewe,place_154,2021-01-06,5,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,4
Rewe,place_154,2021-01-14,5,3,2,0,0,0,1,0,0,3,0,0,0,5,0,0,4,1
Rewe,place_158,2021-01-15,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0
Aldi,place_89,2021-01-18,5,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,5,0
Rewe,place_159,2021-01-07,5,3,1,3,0,0,0,0,0,0,0,0,0,4,1,2,3,0
McDonald's,place_3,2021-01-15,5,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0
McDonald's,place_3,2021-01-08,5,3,0,0,2,0,0,0,0,0,1,0,1,3,2,0,5,0
Rewe,place_159,2021-01-08,5,2,2,3,0,0,0,0,0,0,0,0,0,3,2,2,3,0
Rewe,place_159,2021-01-16,5,2,2,3,0,0,0,0,0,0,0,0,0,3,2,2,3,0
Kaufland,place_216,2021-01-08,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Rewe,place_182,2021-01-19,5,2,0,0,4,0,0,0,0,0,0,0,0,4,1,0,4,1
Rewe,place_199,2021-01-16,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_224,2021-01-12,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4
Rewe,place_205,2021-01-04,5,5,1,1,0,1,0,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_223,2021-01-07,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_215,2021-01-02,5,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,2,3
Kaufland,place_221,2021-01-11,5,4,0,0,0,0,0,0,1,0,0,0,1,5,0,0,3,2
Kaufland,place_219,2021-01-21,5,4,0,0,0,0,0,0,0,0,1,2,0,5,0,1,3,1
Kaufland,place_219,2021-01-16,5,3,3,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0
Rewe,place_210,2021-01-04,5,3,0,0,0,0,3,0,1,0,0,0,0,5,0,0,3,2
Kaufland,place_215,2021-01-08,5,4,0,0,0,2,0,0,0,1,0,1,0,5,0,0,3,2
Kaufland,place_219,2021-01-02,5,4,0,0,0,2,0,0,0,1,0,0,3,5,0,1,3,1
Rewe,place_210,2021-01-07,5,2,0,0,0,0,4,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_215,2021-01-09,5,4,0,0,0,0,1,0,0,1,0,1,0,5,0,0,5,0
Rewe,place_210,2021-01-10,5,1,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0
Rewe,place_210,2021-01-11,5,2,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_218,2021-01-09,5,4,2,1,0,0,0,0,0,0,0,0,0,4,1,1,4,0
Kaufland,place_216,2021-01-21,5,4,0,0,0,0,1,0,0,0,1,0,0,3,2,0,3,0
Kaufland,place_216,2021-01-18,5,4,1,1,0,0,0,0,0,1,0,0,0,2,3,3,0,0
Kaufland,place_216,2021-01-11,5,4,1,0,0,0,0,0,0,3,0,0,0,5,0,2,3,0
Rewe,place_205,2021-01-02,5,5,0,0,0,0,0,1,0,0,0,0,0,5,0,1,4,0
Kaufland,place_215,2021-01-05,5,5,1,0,1,1,1,0,0,0,0,0,1,5,0,0,4,1
Kaufland,place_225,2021-01-15,5,4,0,0,0,0,0,0,0,0,2,0,0,5,0,1,2,2
Kaufland,place_224,2021-01-21,5,5,0,0,0,0,1,0,0,0,0,0,1,4,1,2,2,0
Aldi,place_109,2021-01-15,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,4
Kaufland,place_225,2021-01-05,5,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3
Kaufland,place_227,2021-01-20,5,3,0,0,1,0,0,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_224,2021-01-16,4,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0
Kaufland,place_226,2021-01-21,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2
Rewe,place_160,2021-01-19,4,1,0,0,0,0,4,0,0,4,0,0,0,4,0,4,0,0
Rewe,place_183,2021-01-05,4,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0
Kaufland,place_218,2021-01-15,4,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2
Rewe,place_160,2021-01-14,4,2,0,0,0,0,4,0,0,3,0,0,0,4,0,3,1,0
Kaufland,place_213,2021-01-18,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Kaufland,place_226,2021-01-14,4,4,0,1,1,0,0,0,0,0,1,0,0,4,0,1,2,1
